epoch,accuracy,loss,val_accuracy,val_loss
0,0.19889779388904572,2.6866908073425293,0.3779999911785126,2.116669178009033
1,0.4904809594154358,1.7390284538269043,0.515999972820282,1.5635499954223633
2,0.6983968019485474,1.0633187294006348,0.6340000033378601,1.1228315830230713
3,0.8557114005088806,0.5862048864364624,0.7099999785423279,0.8964533805847168
4,0.9318637251853943,0.3078795373439789,0.7680000066757202,0.7702354788780212
5,0.9714428782463074,0.14806245267391205,0.7979999780654907,0.6900421977043152
6,0.9894789457321167,0.0805855244398117,0.7979999780654907,0.6959946751594543
7,0.9964929819107056,0.04863553121685982,0.7960000038146973,0.7581775784492493
8,0.9974949955940247,0.032232753932476044,0.8159999847412109,0.6587520837783813
9,0.9974949955940247,0.02850341983139515,0.8320000171661377,0.6572473049163818
10,0.9969939589500427,0.02082105726003647,0.8140000104904175,0.743446409702301
11,0.9954909682273865,0.025769678875803947,0.8199999928474426,0.638511598110199
12,0.9974949955940247,0.013404211960732937,0.8320000171661377,0.627393901348114
13,0.9969939589500427,0.014983336441218853,0.8360000252723694,0.6482377648353577
14,1.0,0.008936615660786629,0.8500000238418579,0.6557074785232544
15,1.0,0.004961079452186823,0.8460000157356262,0.6663309335708618
16,1.0,0.0042648920789361,0.8519999980926514,0.6511688232421875
17,1.0,0.0036951873917132616,0.8579999804496765,0.6435684561729431
18,1.0,0.003018715651705861,0.8579999804496765,0.6529804468154907
19,1.0,0.003115423722192645,0.8500000238418579,0.6759443283081055
